tool_name,alias
Power BI,powerbi
Power BI,power bi
Power BI,microsoft powerbi
Power BI,ms powerbi
Power BI,msbi
Power BI,bi dashboard
PowerPoint,powerpoint
PowerPoint,power point
PowerPoint,ppt
PowerPoint,pptx
PowerPoint,ms powerpoint
PowerPoint,microsoft powerpoint
Excel,excel
Excel,ms excel
Excel,microsoft excel
Excel,spreadsheet
Excel,xlsx
Excel,workbook
Disco,disco
Disco,process mining disco
Disco,fluxicon disco
Disco,process discovery tool
Disco,process analysis disco
